barcode_cell	clone	atac_cell	replicate
R1.001,R2.065,R3.057,P1.63	clone21	R1.001,R2.065,R3.057,P1.58	DSS21BC-DSS-m1
R1.001,R2.094,R3.079,P1.63	clone6	R1.001,R2.094,R3.079,P1.58	DSS21BC-DSS-m1
R1.002,R2.086,R3.056,P1.63	clone6	R1.002,R2.086,R3.056,P1.58	DSS21BC-DSS-m1
R1.003,R2.026,R3.003,P1.63	clone199	R1.003,R2.026,R3.003,P1.58	DSS21BC-DSS-m1
R1.003,R2.026,R3.071,P1.63	clone6	R1.003,R2.026,R3.071,P1.58	DSS21BC-DSS-m1
R1.003,R2.091,R3.073,P1.63	clone21,clone6	R1.003,R2.091,R3.073,P1.58	DSS21BC-DSS-m1
R1.004,R2.006,R3.052,P1.63	clone23	R1.004,R2.006,R3.052,P1.58	DSS21BC-DSS-m1
R1.004,R2.010,R3.031,P1.63	clone131	R1.004,R2.010,R3.031,P1.58	DSS21BC-DSS-m1
R1.004,R2.013,R3.037,P1.63	clone21,clone6	R1.004,R2.013,R3.037,P1.58	DSS21BC-DSS-m1
R1.004,R2.027,R3.049,P1.63	clone67	R1.004,R2.027,R3.049,P1.58	DSS21BC-DSS-m1
R1.004,R2.040,R3.072,P1.63	clone180	R1.004,R2.040,R3.072,P1.58	DSS21BC-DSS-m1
R1.004,R2.042,R3.081,P1.63	clone23	R1.004,R2.042,R3.081,P1.58	DSS21BC-DSS-m1
R1.004,R2.044,R3.087,P1.63	clone6	R1.004,R2.044,R3.087,P1.58	DSS21BC-DSS-m1
R1.004,R2.047,R3.019,P1.63	clone67,clone51	R1.004,R2.047,R3.019,P1.58	DSS21BC-DSS-m1
R1.004,R2.071,R3.070,P1.63	clone6	R1.004,R2.071,R3.070,P1.58	DSS21BC-DSS-m1
R1.005,R2.006,R3.095,P1.63	clone6	R1.005,R2.006,R3.095,P1.58	DSS21BC-DSS-m1
R1.005,R2.039,R3.025,P1.63	clone6	R1.005,R2.039,R3.025,P1.58	DSS21BC-DSS-m1
R1.006,R2.013,R3.051,P1.63	clone21	R1.006,R2.013,R3.051,P1.58	DSS21BC-DSS-m1
R1.006,R2.021,R3.070,P1.63	clone23	R1.006,R2.021,R3.070,P1.58	DSS21BC-DSS-m1
R1.007,R2.006,R3.074,P1.63	clone72	R1.007,R2.006,R3.074,P1.58	DSS21BC-DSS-m1
R1.007,R2.066,R3.025,P1.63	clone6	R1.007,R2.066,R3.025,P1.58	DSS21BC-DSS-m1
R1.007,R2.069,R3.048,P1.63	clone161	R1.007,R2.069,R3.048,P1.58	DSS21BC-DSS-m1
R1.008,R2.044,R3.060,P1.63	clone25	R1.008,R2.044,R3.060,P1.58	DSS21BC-DSS-m1
R1.009,R2.047,R3.013,P1.63	clone21	R1.009,R2.047,R3.013,P1.58	DSS21BC-DSS-m1
R1.009,R2.074,R3.080,P1.63	clone21	R1.009,R2.074,R3.080,P1.58	DSS21BC-DSS-m1
R1.009,R2.091,R3.018,P1.63	clone23	R1.009,R2.091,R3.018,P1.58	DSS21BC-DSS-m1
R1.010,R2.021,R3.093,P1.63	clone67	R1.010,R2.021,R3.093,P1.58	DSS21BC-DSS-m1
R1.010,R2.030,R3.083,P1.63	clone21,clone71	R1.010,R2.030,R3.083,P1.58	DSS21BC-DSS-m1
R1.011,R2.027,R3.013,P1.63	clone57	R1.011,R2.027,R3.013,P1.58	DSS21BC-DSS-m1
R1.011,R2.034,R3.076,P1.63	clone21	R1.011,R2.034,R3.076,P1.58	DSS21BC-DSS-m1
R1.011,R2.068,R3.045,P1.63	clone131	R1.011,R2.068,R3.045,P1.58	DSS21BC-DSS-m1
R1.011,R2.070,R3.008,P1.63	clone6	R1.011,R2.070,R3.008,P1.58	DSS21BC-DSS-m1
R1.012,R2.002,R3.041,P1.63	clone199	R1.012,R2.002,R3.041,P1.58	DSS21BC-DSS-m1
R1.012,R2.077,R3.060,P1.63	clone36	R1.012,R2.077,R3.060,P1.58	DSS21BC-DSS-m1
R1.013,R2.017,R3.039,P1.63	clone64	R1.013,R2.017,R3.039,P1.58	DSS21BC-DSS-m1
R1.013,R2.087,R3.006,P1.63	clone162	R1.013,R2.087,R3.006,P1.58	DSS21BC-DSS-m1
R1.014,R2.007,R3.006,P1.63	clone6	R1.014,R2.007,R3.006,P1.58	DSS21BC-DSS-m1
R1.014,R2.051,R3.059,P1.63	clone6,clone25	R1.014,R2.051,R3.059,P1.58	DSS21BC-DSS-m1
